Date,Price,Month,Year,Real_GDP,CPI,inflation_rate,PALLFNFINDEXM,DEXCHUS
2019-11-28,2.67,11.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1422596523174097
2019-11-29,2.656,11.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1422313250270239
2019-12-02,2.6455,12.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1420858198351804
2019-12-03,2.618,12.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1416250053109377
2019-12-04,2.6545,12.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1418661067684319
2019-12-05,2.6585,12.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1419547164454539
2019-12-06,2.7205,12.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1421504520384374
2019-12-09,2.754,12.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1420676526161758
2019-12-10,2.7615,12.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1421908770333295
2019-12-11,2.7855,12.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1420777449420322
2019-12-12,2.7925,12.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1430103682516982
2019-12-13,2.7775,12.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1430103682516982
2019-12-16,2.809,12.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1430185495058709
2019-12-17,2.8125,12.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.142924521560164
2019-12-18,2.811,12.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1427979836924702
2019-12-19,2.8265,12.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1426594576087421
2019-12-20,2.805,12.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1427286870388079
2019-12-23,2.8095,12.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1426045291198448
2019-12-24,2.8265,12.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.142726649920073
2019-12-25,2.838,12.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1428438787826844
2019-12-26,2.8475,12.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1429613003759882
2019-12-27,2.8275,12.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1429510821396918
2019-12-30,2.8335,12.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1431352341692431
2019-12-31,2.797,12.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1436410123818552
2020-01-01,2.806,1.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1436162573603331
2020-01-02,2.825,1.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1435915108698773
2020-01-03,2.787,1.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1435770793550517
2020-01-06,2.79,1.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1433712311287617
2020-01-07,2.7935,1.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1440029952623014
2020-01-08,2.812,1.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1439947009950034
2020-01-09,2.802,1.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1442814064551501
2020-01-10,2.8135,1.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1445546271936164
2020-01-13,2.861,1.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1450873425802332
2020-01-14,2.8735,1.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1452707119717593
2020-01-15,2.866,1.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1451399875179611
2020-01-16,2.847,1.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.14541435821373
2020-01-17,2.8455,1.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1457959731152225
2020-01-20,2.844,1.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1453087083508914
2020-01-21,2.7935,1.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1448246897131023
2020-01-22,2.765,1.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1448435689455388
2020-01-23,2.726,1.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1441670030563404
2020-01-24,2.684,1.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1445901591937652
2020-01-27,2.5965,1.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1445901591937652
2020-01-28,2.5795,1.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1445901591937652
2020-01-29,2.554,1.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1445901591937652
2020-01-30,2.5275,1.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1445901591937652
2020-01-31,2.52,1.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1445901591937652
2020-02-03,2.5105,2.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1424339106654512
2020-02-04,2.5455,2.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1429000128610011
2020-02-05,2.5785,2.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1434308663224325
2020-02-06,2.5965,2.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1434843745516113
2020-02-07,2.557,2.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1428510206705427
2020-02-10,2.5545,2.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1432254368375823
2020-02-11,2.5875,2.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1435750179468772
2020-02-12,2.6055,2.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1434555574682963
2020-02-13,2.6175,2.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1433506787654639
2020-02-14,2.604,2.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1431454787500536
2020-02-17,2.62,2.0,2020.0,20234.074,257.971,1.23358439630637,118.811698214241,0.1430533302815289
